ad_id,campaign_name,platform,impressions,clicks,conversions,cost,age_group,location,device,date,ctr,cpc,conversion_rate,cpm,cpa,perf_score,month,day_of_week,week,account
1,Summer Sale,Facebook,52000,1820,182.0,1200.5,18-24,New York,Mobile,2024-06-01,0.035,0.6596153846153846,0.1,23.08653846153846,6.596153846153846,48.46,6,5,22,hamsa
2,Summer Sale,Instagram,48000,2016,221.0,1100.0,18-24,Los Angeles,Mobile,2024-06-01,0.042,0.5456349206349206,0.10962301587301587,22.916666666666664,4.97737556561086,63.5,6,5,22,hamsa
3,Brand Awareness,Google,95000,2375,119.0,3200.0,25-34,Chicago,Desktop,2024-06-02,0.025,1.3473684210526315,0.050105263157894736,33.68421052631579,26.89075630252101,11.5,6,6,22,hamsa
4,Product Launch,Twitter,31000,620,31.0,850.0,25-34,Houston,Mobile,2024-06-02,0.02,1.3709677419354838,0.05,27.41935483870968,27.419354838709676,5.48,6,6,22,hamsa
5,Retargeting A,Facebook,22000,1100,176.0,700.0,35-44,Phoenix,Desktop,2024-06-03,0.05,0.6363636363636364,0.16,31.818181818181817,3.977272727272727,85.68,6,0,23,hamsa
6,Holiday Promo,Instagram,67000,3015,241.0,1900.0,18-24,Philadelphia,Mobile,2024-06-03,0.045,0.6301824212271974,0.07993366500829187,28.358208955223883,7.8838174273858925,54.61,6,0,23,hamsa
7,Brand Awareness,LinkedIn,14000,280,22.0,960.0,35-44,San Antonio,Desktop,2024-06-04,0.02,3.4285714285714284,0.07857142857142857,68.57142857142857,43.63636363636363,9.15,6,1,23,hamsa
8,Summer Sale,Google,88000,2640,211.0,2900.0,25-34,San Diego,Desktop,2024-06-04,0.03,1.0984848484848484,0.07992424242424243,32.95454545454545,13.744075829383887,28.87,6,1,23,hamsa
9,Product Launch,TikTok,120000,5415,425.5,2200.0,18-24,Dallas,Mobile,2024-06-05,0.045125,0.40627885503231764,0.07857802400738689,18.333333333333332,5.170387779083431,64.8,6,2,23,hamsa
10,Retargeting B,Facebook,19000,950,152.0,600.0,45-54,San Jose,Mobile,2024-06-05,0.05,0.631578947368421,0.16,31.578947368421055,3.9473684210526314,85.83,6,2,23,hamsa
11,Holiday Promo,Google,74000,2220,178.0,2500.0,25-34,Austin,Desktop,2024-06-06,0.03,1.1261261261261262,0.08018018018018018,33.78378378378378,14.044943820224718,28.68,6,3,23,hamsa
12,Brand Awareness,Instagram,55000,2475,198.0,1700.0,18-24,Jacksonville,Mobile,2024-06-06,0.045,0.6868686868686869,0.08,30.90909090909091,8.585858585858587,53.04,6,3,23,hamsa
13,Summer Sale,TikTok,98000,4900,392.0,1800.0,18-24,Fort Worth,Mobile,2024-06-07,0.05,0.3673469387755102,0.08,18.367346938775512,4.591836734693878,74.04,6,4,23,hamsa
14,Product Launch,Facebook,36000,1440,115.0,1100.0,25-34,Columbus,Mobile,2024-06-07,0.04,0.7638888888888888,0.0798611111111111,30.555555555555554,9.565217391304348,45.38,6,4,23,hamsa
15,Retargeting A,Google,41000,1230,111.0,1400.0,35-44,Charlotte,Desktop,2024-06-08,0.03,1.1382113821138211,0.09024390243902439,34.146341463414636,12.612612612612613,31.76,6,5,23,hamsa
16,Holiday Promo,Twitter,25000,750,45.0,680.0,25-34,Indianapolis,Mobile,2024-06-08,0.03,0.9066666666666666,0.06,27.2,15.11111111111111,24.9,6,5,23,hamsa
17,Brand Awareness,TikTok,145000,5415,425.5,2600.0,18-24,San Francisco,Mobile,2024-06-09,0.0373448275862069,0.4801477377654663,0.07857802400738689,17.93103448275862,6.110458284371328,51.21,6,6,23,hamsa
18,Summer Sale,LinkedIn,12000,240,19.0,820.0,35-44,Seattle,Desktop,2024-06-09,0.02,3.4166666666666665,0.07916666666666666,68.33333333333333,43.1578947368421,9.35,6,6,23,hamsa
